date,rub_to_usd
2009-01-16,31.973668
2008-10-24,27.156374
2008-10-25,27.156374
2008-10-26,27.156374
2010-05-11,30.37498
2017-04-13,56.572111
2020-06-26,69.779499
2020-06-27,69.779499
2022-07-01,56.760157
2018-06-21,63.588393
2022-09-13,60.342322
2016-02-09,77.740483
2015-09-24,65.352726
2007-01-22,26.532046
2005-05-04,27.795367
2018-02-05,56.461477
2008-11-18,26.882013
2010-09-17,31.332288
2010-09-19,31.332288
2010-09-18,31.332288
2016-06-01,66.369432
2020-01-14,61.174749
2019-12-12,63.297593
2020-03-23,79.547971
2015-07-21,57.006461
2009-04-03,33.14093
2009-04-04,33.14093
2009-04-05,33.14093
2010-04-05,28.689673
2009-12-28,29.743165
2011-09-01,28.904348
2009-01-20,33.150795
2012-01-23,30.624913
2020-06-29,70.150833
2016-01-26,79.378421
2020-08-16,72.876193
2015-11-05,62.512882
2010-06-18,30.923102
2010-06-19,30.923102
2010-05-17,30.346486
2010-05-19,30.57129
2010-06-20,30.923102
2013-12-23,32.223424
2021-03-12,73.260023
2005-12-07,28.96228
2009-08-23,31.539767
2009-08-21,31.539767
2009-08-22,31.539767
2012-11-06,31.593579
2006-06-07,26.834088
2015-08-10,62.367077
2017-05-08,58.166712
2007-10-09,24.98405
2019-07-25,63.278586
2011-12-13,31.041682
2007-01-03,25.350922
2010-04-27,29.41151
2021-01-02,73.944989
2009-07-23,31.153499
2009-12-01,28.396554
2011-09-19,30.726589
2021-08-21,74.257142
2022-02-24,84.686855
2006-06-20,27.039479
2006-06-26,27.035507
2022-06-10,57.593181
2008-09-01,24.719726
2016-09-03,65.881618
2016-09-02,65.881618
2019-05-02,64.757611
2016-09-04,65.881618
2012-07-25,32.805837
2005-09-28,28.467916
2010-05-20,31.204023
2007-05-20,25.827869
2007-05-19,25.827869
2007-05-18,25.827869
2021-04-24,74.872099
2017-09-09,56.941475
2017-09-08,56.941475
2017-09-10,56.941475
2005-06-23,28.731399
2014-12-23,55.757199
2012-10-02,31.192427
2014-08-13,36.187416
2006-10-15,25.914194
2012-06-26,33.242463
2006-10-13,25.914194
2012-06-13,33.014314
2006-10-14,25.914194
2008-11-19,27.157857
2018-10-15,66.172712
2015-08-26,68.736473
2021-08-01,73.06096
2021-05-25,73.556435
2021-11-05,71.106726
2021-12-10,73.424164
2009-12-18,30.530629
2009-12-19,30.530629
2009-12-20,30.530629
2005-04-21,27.741243
2012-02-15,30.064489
2010-10-05,30.493272
2007-08-29,25.626006
2007-08-09,25.464385
2011-02-23,29.247184
2018-06-19,63.400052
2018-05-03,64.05213
2014-03-17,35.901459
2017-06-29,59.300097
2019-09-02,66.637282
2013-08-13,32.972391
2022-04-22,77.28976
2005-09-06,28.275004
2014-10-08,39.843622
2017-12-27,57.707624
2014-10-20,40.776314
2016-12-28,60.154751
2008-04-17,23.391397
2021-01-26,75.093079
2021-03-16,72.8876
2021-01-20,73.454195
2011-04-19,28.317421
2021-01-18,74.080009
2010-11-09,30.931291
2007-11-08,24.449969
2011-05-24,28.485716
2020-08-30,74.132078
2014-01-14,33.22019
2013-12-07,32.989466
2013-12-06,32.989466
2013-12-08,32.989466
2014-12-09,53.405847
2018-03-05,56.869428
2012-06-25,33.231775
2018-10-11,66.938351
2022-07-07,60.006906
2007-12-11,24.46028
2011-12-24,30.721584
2011-12-23,30.721584
2012-01-04,30.936351
2011-12-25,30.721584
2013-04-22,31.645757
2007-09-12,25.358786
2020-07-30,73.356496
2013-08-14,33.045379
2009-04-29,33.097693
2013-09-11,32.950324
2011-02-03,29.385946
2011-06-14,27.877991
2009-05-20,31.427939
2020-09-08,76.2858
2019-08-05,65.171948
2015-06-08,56.027638
2014-02-20,35.757247
2020-01-05,61.703339
2020-01-03,61.703339
2019-05-29,64.645958
2019-05-22,64.306687
2020-01-04,61.703339
2013-09-20,31.679917
2013-09-22,31.679917
2013-09-21,31.679917
2012-04-26,29.302652
2022-04-18,81.080795
2020-08-24,74.640991
2009-09-20,30.230565
2009-09-19,30.230565
2009-09-18,30.230565
2007-12-12,24.421718
